"calories","cook","directions","ingredients","name","prep","rating","ready in","url"
"281","50 mins","1. Spray 9x13-inch baking dish with cooking spray. 2. Whisk eggs, 2 cups milk, green onions, onion powder, and salt together in a large bowl until well mixed. 3. Layer half the Canadian bacon in the prepared baking dish. Spread English muffins over meat and top with remaining Canadian bacon. Pour egg mixture over casserole. Cover baking dish with plastic wrap and refrigerate overnight. 4. Preheat the oven to 375 degrees F (190 degrees C). 5. Sprinkle casserole with paprika; cover with aluminum foil. 6. Bake in preheated oven until eggs are nearly set, about 30 minutes; remove foil. Continue baking until eggs are completely set, about 15 more minutes. 7. Whisk hollandaise sauce mix with 1 cup milk in a saucepan. Add margarine and bring to a boil, stirring frequently. Reduce heat to medium-low, simmer, and stir until thickened, about 1 minute. Drizzle sauce over casserole to serve.","cooking spray, 8 large eggs, 2 cups milk, 3 green onions, chopped, 1 teaspoon onion powder, 1 teaspoon salt, ¾ pound Canadian bacon, cut into 1/2-inch dice, 6 English muffins, cut into 1/2-inch dice, ½ teaspoon paprika, 1 (.9 ounce) package hollandaise sauce mix, 1 cup milk, ¼ cup margarine","Eggs Benedict Casserole","20 mins","4.5","9 hrs 10 mins","https://www.allrecipes.com/recipe/221988/eggs-benedict-casserole/"
"554","6 mins","1. Whisk water and baking soda together in a mixing bowl. Add ricotta cheese, lemon zest, vegetables oil, sugar, egg, and vanilla. Whisk until smooth, breaking up lumps of cheese as you mix. Add melted butter, lemon juice, and 1 cup plus 2 tablespoons self-rising flour. Whisk together, stirring until most of flour disappears into the batter. 2. Let batter sit at room temperature about 15 minutes. 3. Heat lightly greased cast iron skillet or griddle over medium-high heat. Portion out 1/4 cup scoops of batter onto skillet (cook in batches). When bubbles begin to form on the surface and the edges of the pancakes start to look dry (2 to 3 minutes), flip and cook other side until cooked through, 2 to 3 minutes. Transfer to a warm plate.","¾ cup cold water or milk, ½ teaspoon baking soda, ½ cup ricotta cheese, 1 tablespoon grated lemon zest (just the yellow part of the skin), 1 tablespoon vegetable oil, 1 tablespoon white sugar, 1 large egg, ⅛ teaspoon vanilla extract, 2 tablespoons melted butter, 1 tablespoon lemon juice, 1 cup self-rising flour, 2 tablespoons self-rising flour","Lemon-Ricotta Pancakes","10 mins","5","31 mins","https://www.allrecipes.com/recipe/257657/lemon-ricotta-pancakes/"
"205","15 mins","1. Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Heat olive oil and cook onion, red bell pepper, garlic, chili powder, paprika, and cumin until soft, about 3 minutes. Add kale and cook until soft, about 2 minutes. Stir in marinara sauce and season with salt and pepper; turn off the pot and let cool for 5 minutes. 2. Crack eggs carefully in the pot, evenly spaced. Close and lock the lid. Select low pressure according to manufacturer's instructions; set timer for 1 minute. Once it beeps, release pressure carefully using the quick-release method according to manufacturer's instructions, about 2 minutes. Unlock and remove the lid. Sprinkle with parsley.","1 tablespoon olive oil, ½ onion, diced, ½ red bell pepper, diced, 2 cloves garlic, minced, 1 teaspoon chili powder, ½ teaspoon smoked paprika, ½ teaspoon ground cumin, 2 cups baby kale, 1 ½ cups marinara sauce, ½ teaspoon sea salt, ½ teaspoon ground black pepper, 4 eggs, 1 tablespoon chopped fresh parsley","Instant Pot® Paleo and Keto Egg Shakshuka with Kale","10 mins","4.5","30 mins","https://www.allrecipes.com/recipe/263600/instant-pot-paleo-and-keto-egg-shakshuka-with-kale/"
"233","20 mins","1. Preheat the oven to 350 degrees F (175 degrees C). 2. Crumble sausage into a large skillet and cook until browned over medium-high heat, about 5 minutes. Drain grease and remove browned pork to a plate. Clean out skillet. 3. Place flour tortilla into the skillet. Sprinkle 1/2 of the asadero cheese onto the tortilla and spread salsa over the cheese. Top with sausage crumbles and remaining cheese. 4. Crack open the egg and carefully add to the middle of the pizza; cook for 12 minutes. 5. Top pizza with avocado slices, chopped cilantro, crema con sal, and black pepper.","3 pork sausage patties, 1 large flour tortilla, ½ cup shredded asadero cheese, divided, ⅓ cup salsa, 1 medium egg, 4 slices avocado, or to taste, 1 tablespoon chopped fresh cilantro, or to taste, 1 tablespoon crema con sal (salted Mexican-style sour cream), 1 pinch freshly ground black pepper to taste","Simple Southwestern Breakfast Pizza","5 mins",,"25 mins","https://www.allrecipes.com/recipe/281515/simple-southwestern-breakfast-pizza/"
"321","","1. Combine blueberries, banana, almond milk, and almond butter in a blender; blend until smooth, adding water for a thinner smoothie.","1 cup frozen blueberries, 1 banana, ½ cup almond milk, 1 tablespoon almond butter, water as needed","Almond Berry Smoothie","10 mins","4.5","10 mins","https://www.allrecipes.com/recipe/246613/almond-berry-smoothie/"
"203","15 mins","1. Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil. 2. Arrange the bacon in a single layer on the prepared sheet with the edges touching or slightly overlapping. 3. Bake in the preheated oven to desired degree of doneness, 10 to 15 minutes. Remove bacon from the baking sheet with tongs or a fork, and drain on a paper towel-lined plate.","1 pound thick sliced bacon","Bacon for the Family or a Crowd","5 mins","4.5","20 mins","https://www.allrecipes.com/recipe/158727/bacon-for-the-family-or-a-crowd/"
"334","10 mins","1. Shred potatoes into a large bowl filled with cold water. Stir until water is cloudy, drain, and cover potatoes again with fresh cold water. Stir again to dissolve excess starch. Drain potatoes well, pat dry with paper towels, and squeeze out any excess moisture. 2. Heat clarified butter in a large non-stick pan over medium heat. Sprinkle shredded potatoes into the hot butter and season with salt, black pepper, cayenne pepper, and paprika. 3. Cook potatoes until a brown crust forms on the bottom, about 5 minutes. Continue to cook and stir until potatoes are browned all over, about 5 more minutes.","2 russet potatoes, peeled, 3 tablespoons clarified butter, salt and ground black pepper to taste, 1 pinch cayenne pepper, or to taste, 1 pinch paprika, or to taste","Classic Hash Browns","10 mins","4.5","20 mins","https://www.allrecipes.com/recipe/220520/classic-hash-browns/"
"634","25 mins","1. Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper. 2. Place sweet potatoes and green onions on the baking sheet. Drizzle with olive oil and sprinkle with garlic powder, salt, and pepper. Toss to combine and spread out evenly. 3. Roast in the preheated oven until soft, about 25 minutes. 4. Meanwhile, cook chorizo in a medium skillet over medium-high heat, breaking apart with a wooden spoon, 8 to 10 minutes. Drain any excess fat; transfer chorizo to a bowl and set aside to cool. Wipe out the skillet and return it to the stove. 5. Whisk eggs in a bowl. Heat butter in the skillet over medium-high heat. Pour in eggs and scramble until just set, 3 to 5 minutes. Scrape eggs into a bowl and let cool. 6. Line up tortillas in assembly-line fashion. Divide chorizo between the 8 tortillas. Top each with a portion of sweet potato-onion mixture, scrambled eggs, 1 tablespoon salsa, and queso fresco. Fold the bottom of each tortilla up over the filling, then fold in both sides and roll up burritos. 7. Flip burritos so they are seam side-down. Wrap each individually with aluminum foil and place into a resealable plastic bag.","2 medium sweet potatoes, scrubbed and cut into 1/2-inch cubes, 3 green onions, chopped, 2 tablespoons olive oil, ½ teaspoon garlic powder, ½ teaspoon salt, ¼ teaspoon ground black pepper, 1 (14 ounce) package Mexican-style chorizo, 1 tablespoon butter, 8 eggs, 8 (10 inch) flour tortillas, ½ cup salsa, 1 (4 ounce) package queso fresco, crumbled","Make-Ahead Sweet Potato and Chorizo Breakfast Burritos","25 mins","4.5","50 mins","https://www.allrecipes.com/recipe/267143/make-ahead-sweet-potato-and-chorizo-breakfast-burritos/"
"157","25 mins","1. Preheat the oven to 350 degrees F (175 degrees C). Grease two 12 cup muffin pans or line with paper cups. 2. In a medium bowl, stir together the flour, baking soda, baking powder and salt. In a separate bowl, beat the brown sugar, oil, egg, vanilla and buttermilk with an electric mixer until smooth. Pour in the dry ingredients and mix by hand just until blended. Stir in the rhubarb and walnuts. Spoon the batter into the prepared cups, filling almost to the top. In a small bowl, stir together the melted butter, white sugar and cinnamon; sprinkle about 1 teaspoon of this mixture on top of each muffin. 3. Bake in the preheated oven until the tops of the muffins spring back when lightly pressed, about 25 minutes. Cool in the pans for at least 10 minutes before removing.","2 ½ cups flour, 1 teaspoon baking soda, 1 teaspoon baking powder, ½ teaspoon salt, 1 ¼ cups brown sugar, ½ cup vegetable oil, 1 egg, 1 teaspoon vanilla extract, 1 cup buttermilk, 1 ½ cups diced rhubarb, ½ cup chopped walnuts, 1 tablespoon melted butter, ⅓ cup white sugar, 1 teaspoon ground cinnamon","Aunt Norma's Rhubarb Muffins","15 mins","4.5","50 mins","https://www.allrecipes.com/recipe/150141/aunt-normas-rhubarb-muffins/"
"163","","1. In the container of a blender, combine the egg yolks, mustard, lemon juice and hot pepper sauce. Cover, and blend for about 5 seconds.n 2. Place the butter in a glass measuring cup. Heat butter in the microwave for about 1 minute, or until completely melted and hot. Set the blender on high speed, and pour the butter into the egg yolk mixture in a thin stream. It should thicken almost immediately. Keep the sauce warm until serving by placing the blender container in a pan of hot tap water.n","3 egg yolks, ¼ teaspoon Dijon mustard, 1 tablespoon lemon juice, 1 dash hot pepper sauce (e.g. Tabasco™), ½ cup butter","Blender Hollandaise Sauce","5 mins","4.5","5 mins","https://www.allrecipes.com/recipe/84214/blender-hollandaise-sauce/"
