id,recId,servings,prep_min,cook_min,additional_min,total_min,yield_amt,yield_unit
IN00001,R00001,4.0,30,0,0,30,4,servings
IN00002,R00002,10.0,30,24,0,54,10,burritos
IN00003,R00003,20.0,50,15,0,65,20,burritos
IN00004,R00004,8.0,20,20,0,40,8,servings
IN00005,R00005,4.0,15,30,0,45,4,servings
IN00006,R00006,4.0,5,10,0,15,4,servings
IN00007,R00007,10.0,30,1,8,570,10,servings
IN00008,R00008,4.0,15,35,0,50,4,servings
IN00009,R00009,6.0,5,3,0,8,6,tacos
IN00010,R00010,6.0,10,30,0,40,6,burritos
IN00011,R00011,6.0,10,15,0,25,6,burritos
IN00012,R00012,4.0,10,10,0,20,4,servings
IN00013,R00013,4.0,20,20,0,40,4,servings
IN00014,R00014,4.0,10,10,0,20,4,servings
IN00015,R00015,4.0,15,15,0,30,4,servings
IN00016,R00016,4.0,15,35,0,50,4,servings
IN00017,R00017,8.0,15,30,0,45,8,enchiladas
IN00018,R00018,6.0,10,30,0,40,6,burritos
IN00019,R00019,10.0,25,0,10,35,10,servings
IN00020,R00020,6.0,5,3,0,8,6,tacos
IN00021,R00021,12.0,20,200,0,220,12,burritos
IN00022,R00022,15.0,20,20,2,160,15,burritos
IN00023,R00023,1.0,10,5,0,15,1,serving
IN00024,R00024,6.0,0,0,0,0,6,servings
IN00025,R00025,8.0,25,25,0,50,8,burritos
IN00026,R00026,4.0,15,0,0,15,4,burritos
IN00027,R00027,8.0,30,10,0,40,8,servings
IN00028,R00028,10.0,35,25,0,1,10,burritos
IN00029,R00029,4.0,15,10,0,25,4,servings
IN00030,R00030,4.0,10,10,0,20,4,tacos
IN00031,R00031,2.0,10,0,0,10,2,wraps
IN00032,R00032,2.0,20,30,0,50,2,burritos
IN00033,R00033,10.0,30,0,0,30,10,servings
IN00034,R00034,3.0,10,20,0,30,6,migas
IN00035,R00035,2.0,15,5,0,20,2,burritos
IN00036,R00036,12.0,15,10,0,25,12,burritos
IN00037,R00037,4.0,15,20,0,35,1,9x13-inch
IN00038,R00038,10.0,15,55,510,580,1,9x13-inch
IN00039,R00039,16.0,15,45,0,1,16,servings
IN00040,R00040,12.0,20,45,130,195,12,servings
IN00041,R00041,12.0,15,1,0,75,12,servings
IN00042,R00042,12.0,10,55,10,75,1,9x13-inch
IN00043,R00043,8.0,15,55,5,75,8,servings
IN00044,R00044,6.0,15,35,0,50,1,9-inch
IN00045,R00045,6.0,15,35,0,50,6,servings
IN00046,R00046,8.0,15,75,0,90,8,servings
IN00047,R00047,6.0,20,1,0,80,1,-
IN00048,R00048,6.0,15,80,5,100,1,8x8-inch
IN00049,R00049,12.0,15,40,845,15,12,servings
IN00050,R00050,6.0,5,20,0,25,6,servings
IN00051,R00051,5.0,10,1,0,70,1,9x13-inch
IN00052,R00052,10.0,20,50,8,550,1,9x13-inch
IN00053,R00053,12.0,25,75,5,105,12,servings
IN00054,R00054,8.0,15,1,10,85,nan,
IN00055,R00055,8.0,20,90,8,590,nan,
IN00056,R00056,16.0,15,45,0,1,16,servings
IN00057,R00057,10.0,30,75,8,585,10,servings
IN00058,R00058,6.0,30,50,0,80,1,-
IN00059,R00059,6.0,0,0,0,0,6,servings
IN00060,R00060,8.0,25,45,485,555,8,servings
IN00061,R00061,8.0,15,1,0,75,8,servings
IN00062,R00062,6.0,10,30,0,40,6,servings
IN00063,R00063,6.0,25,45,0,70,6,servings
IN00064,R00064,12.0,15,35,0,50,12,servings
IN00065,R00065,10.0,15,45,0,1,1,10x13-inch
IN00066,R00066,10.0,30,1,8,570,10,servings
