,id,unit,ingredient,amount,alt,recId
0,IG00001,,eggs,12.0,,R00001
1,IG00002,cup,milk,0.3333333333333333,,R00001
2,IG00003,slice,"cooked ham, diced",3.0,,R00001
3,IG00004,,"green onions, minced",2.0,,R00001
4,IG00005,,salt and pepper,0.0,,R00001
5,IG00006,ounce,"Cheddar cheese, shredded",4.0,,R00001
6,IG00007,,flour tortillas,4.0,10 inch,R00001
7,IG00008,cup,salsa,0.5,,R00001
8,IG00009,package,bacon,1.0,12 ounce,R00002
9,IG00010,,large eggs,10.0,,R00002
10,IG00011,tablespoon,milk,3.0,,R00002
11,IG00012,teaspoon,salt,0.25,,R00002
12,IG00013,tablespoon,vegetable oil,3.0,,R00002
13,IG00014,cup,frozen hash brown potatoes with peppers and onion,4.0,such as Ore-Ida® Potatoes O'Brien®,R00002
14,IG00015,teaspoon,garlic salt,0.5,,R00002
15,IG00016,teaspoon,ground black pepper,0.25,,R00002
16,IG00017,,large flour tortillas,10.0,,R00002
17,IG00018,cup,shredded Cheddar cheese,1.5,,R00002
18,IG00019,cup,salsa,1.0,,R00002
19,IG00020,,eggs,12.0,,R00003
20,IG00021,cup,milk,0.6666666666666666,,R00003
21,IG00022,teaspoon,salt,0.5,,R00003
22,IG00023,tablespoon,butter,2.0,,R00003
23,IG00024,pound,bulk pork sausage,1.0,,R00003
24,IG00025,tablespoon,minced garlic,2.0,,R00003
25,IG00026,,"red onion, diced",0.5,,R00003
26,IG00027,,"tomato, diced",1.0,,R00003
27,IG00028,cup,chopped fresh cilantro,0.25,,R00003
28,IG00029,can,diced jalapenos,1.0,3.5 ounce,R00003
29,IG00030,package,taco seasoning,1.0,1 ounce,R00003
30,IG00031,cup,shredded Cheddar cheese,1.5,,R00003
31,IG00032,,flour tortillas,20.0,6 inch,R00003
32,IG00033,tablespoon,"butter, divided",1.0,,R00004
33,IG00034,cup,diced red potatoes,1.0,,R00004
34,IG00035,cup,chopped onion,1.5,,R00004
35,IG00036,,"eggs, beaten",6.0,,R00004
36,IG00037,,salt and ground black pepper,0.0,,R00004
37,IG00038,,whole wheat tortillas,8.0,7 inch,R00004
38,IG00039,pound,cooked and crumbled turkey bacon,1.0,,R00004
39,IG00040,cup,shredded low-fat Cheddar cheese,1.5,,R00004
40,IG00041,slice,,1.0,,R00004
41,IG00042,cup,"salsa, or as needed",0.5,,R00004
42,IG00043,cup,"reduced-fat sour cream, or as needed",0.5,,R00004
43,IG00044,cup,Mexican-style chorizo,0.25,,R00005
44,IG00045,tablespoon,bacon grease,1.0,,R00005
45,IG00046,cup,diced potatoes,0.5,,R00005
46,IG00047,tablespoon,chopped onion,2.0,,R00005
47,IG00048,,"serrano pepper, chopped",1.0,,R00005
48,IG00049,,large eggs,2.0,,R00005
49,IG00050,,salt and ground black pepper,0.0,,R00005
50,IG00051,,flour tortillas,4.0,8 inch,R00005
51,IG00052,,avocado oil cooking spray,0.0,,R00005
52,IG00053,ounce,chorizo sausage,6.0,,R00006
53,IG00054,,corn tortillas,8.0,6 inch,R00006
54,IG00055,,eggs,6.0,,R00006
55,IG00056,cup,milk,0.25,,R00006
56,IG00057,teaspoon,pepper,0.5,,R00006
57,IG00058,teaspoon,salt,0.5,,R00006
58,IG00059,cup,shredded Monterey Jack cheese,1.0,,R00006
59,IG00060,dash,hot pepper sauce,1.0,e.g. Tabasco™,R00006
60,IG00061,cup,salsa,0.5,,R00006
61,IG00062,pound,"cooked ham, chopped",1.0,,R00007
62,IG00063,cup,sliced green onions,0.75,,R00007
63,IG00064,cup,chopped green bell peppers,0.75,,R00007
64,IG00065,cup,"shredded Cheddar cheese, divided",3.0,,R00007
65,IG00066,,flour tortillas,10.0,7 inch,R00007
66,IG00067,,"eggs, beaten",5.0,,R00007
67,IG00068,cup,half-and-half cream,2.0,,R00007
68,IG00069,cup,milk,0.5,,R00007
69,IG00070,tablespoon,all-purpose flour,1.0,,R00007
70,IG00071,teaspoon,garlic powder,0.25,,R00007
71,IG00072,dash,hot pepper sauce,1.0,,R00007
72,IG00073,pound,"beef skirt steak, cut into thin strips",2.0,,R00008
73,IG00074,tablespoon,carne asada seasoning,2.0,,R00008
74,IG00075,tablespoon,garlic powder,1.0,,R00008
75,IG00076,tablespoon,vegetable oil,1.0,,R00008
76,IG00077,,"sweet onion, diced",0.5,,R00008
77,IG00078,,"red bell pepper, seeded and chopped",1.0,,R00008
78,IG00079,,"jalapeno pepper, seeded and diced",1.0,,R00008
79,IG00080,can,"Hunt's® Diced Tomatoes, drained",1.0,14.5 ounce,R00008
80,IG00081,cup,frozen diced potatoes,2.0,,R00008
81,IG00082,,salt and pepper,0.0,,R00008
82,IG00083,tablespoon,"butter, divided",3.0,,R00008
83,IG00084,,"eggs, whisked",6.0,,R00008
84,IG00085,cup,shredded Mexican cheese blend,2.0,,R00008
85,IG00086,,flour tortillas,4.0,12 inch,R00008
86,IG00087,,eggs,6.0,,R00009
87,IG00088,cup,crumbled cooked bacon,0.25,,R00009
88,IG00089,tablespoon,butter,2.0,,R00009
89,IG00090,slice,"American cheese, diced",3.0,,R00009
90,IG00091,teaspoon,salt,0.25,,R00009
91,IG00092,teaspoon,ground black pepper,0.25,,R00009
92,IG00093,,flour tortillas,6.0,,R00009
93,IG00094,cup,salsa,1.0,,R00009
94,IG00095,,"potatoes, shredded",4.0,,R00010
95,IG00096,,"small onion, finely chopped",1.0,,R00010
96,IG00097,clove,"garlic, minced",1.0,,R00010
97,IG00098,container,"frozen Hatch, New Mexico green chile peppers",1.0,8 ounce,R00010
98,IG00099,cup,chicken broth,0.5,,R00010
99,IG00100,strip,bacon,12.0,,R00010
100,IG00101,cup,vegetable oil,0.3333333333333333,,R00010
101,IG00102,tablespoon,onion powder,1.0,,R00010
102,IG00103,,salt and pepper,0.0,,R00010
103,IG00104,,flour tortillas,6.0,10 inch,R00010
104,IG00105,,butter flavored cooking spray,0.0,,R00010
105,IG00106,,"extra large eggs, beaten",12.0,,R00010
106,IG00107,cup,shredded Cheddar cheese,2.0,,R00010
107,IG00108,tablespoon,butter,1.0,,R00011
108,IG00109,cup,frozen southwest-style O'Brien potatoes with onions and peppers,1.0,,R00011
109,IG00110,,"eggs, beaten",12.0,,R00011
110,IG00111,cup,shredded Cheddar cheese,1.0,,R00011
111,IG00112,cup,shredded pepperjack cheese,1.0,,R00011
112,IG00113,cup,picante sauce,1.0,,R00011
113,IG00114,cup,crushed nacho cheese tortilla chips,1.0,such as Doritos®,R00011
114,IG00115,,flour tortillas,12.0,10 inch,R00011
115,IG00116,tablespoon,vegetable oil,2.0,,R00012
