id,step,seqNo,recId
IS00001,"Beat together eggs and milk. Heat a lightly oiled skillet (or non-stick pan) over medium high heat and cook egg mixture, stirring occasionally, until firm. When almost done, stir in ham, green onions, salt and pepper.",1,R00001
IS00002,"Spoon 1/4 of the egg mixture on top of each tortilla. Sprinkle the eggs with cheese, fold over the tortilla to make a roll and top with salsa if desired.",2,R00001
IS00003,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain on paper towels and crumble into bits. Keep skillet warm.",1,R00002
IS00004,"Whisk eggs, milk, and salt together in a bowl. Pour into the hot skillet. Cook and stir over medium-high heat until eggs are set, about 5 minutes. Transfer to a bowl.",2,R00002
IS00005,"Heat oil in same skillet over medium-high heat. Add frozen potatoes, garlic salt, and pepper. Fry until browned on the bottom, 4 to 5 minutes. Flip and cook until other side is browned, 4 to 5 minutes more. Let cool.",3,R00002
IS00006,"Cut 10 squares of aluminum foil slightly larger than the tortillas. Lay 1 tortilla on each square; evenly distribute Cheddar cheese on top. Add eggs, bacon, salsa, and potatoes to each tortilla, in that order. Tightly roll the burritos, tucking tops and bottoms in first.",4,R00002
IS00007,"Wrap aluminum foil tightly around each burrito, covering it completely. Place in resealable plastic bags in a single layer. Remove as much air as possible from the bags before sealing. Store in the freezer until ready to reheat.",5,R00002
IS00008,"Reheat by removing the aluminum foil, placing the burrito on a microwave-safe plate, and topping it with a paper towel. Heat in the microwave until evenly warmed through, 1 to 2 minutes.",6,R00002
IS00009,"Whisk together the eggs, milk, and salt in a large bowl. Heat butter in a large skillet over medium-high heat. Pour in the egg mixture; cook and stir until eggs are completely set, about 5 minutes. Chop the cooked eggs and place in a large bowl. Set aside.",1,R00003
IS00010,,2,R00003
IS00011,"Place a tortilla onto your work surface, then spoon some of the filling halfway between the bottom edge and the center of the tortilla. Flatten the filling into rectangle shape with the back of a spoon. Fold the bottom of the tortilla snugly over the filling, then fold in the left and right edges. Roll the burrito up to the top edge, forming a tight cylinder. Repeat with the remaining ingredients.",3,R00003
IS00012,"Tightly wrap individual burritos with plastic wrap and freeze until ready to serve. Heat in the microwave until hot, 3 to 4 minutes, before serving.",4,R00003
IS00013,"Melt 1 1/2 teaspoons butter in a skillet over medium heat. Cook and stir potatoes in hot butter until tender, 10 to 15 minutes. Transfer potatoes to a bowl.",1,R00004
IS00014,"Melt remaining butter in the same skillet over medium-high heat. Saute onion in hot butter until onion is soft and translucent, 5 to 10 minutes. Transfer onion to a bowl.",2,R00004
IS00015,"Beat eggs, salt, and pepper together in a bowl. Reduce heat under skillet to medium. Cook and stir eggs in hot skillet until set, 3 to 5 minutes; transfer to a plate.",3,R00004
IS00016,"Spread tortillas out onto a work surface. Spoon potatoes, onion, eggs, bacon, Cheddar cheese, avocado, salsa, and sour cream in a line across the middle of a tortilla. Fold opposing edges of each tortilla to overlap the filling. Roll 1 of the opposing edges around the filling into a burrito.",4,R00004
IS00017,"Cook chorizo in a large skillet over medium-high heat, stirring frequently, until sausage turns a dark red, 6 to 8 minutes. Remove from the skillet and set aside.",1,R00005
IS00018,"Melt bacon grease in the same skillet over medium-high heat. Add diced potatoes and cook, stirring occasionally, 8 to 10 minutes. Add onion and serrano pepper and continue cooking and stirring until potatoes are fork-tender, onion is translucent, and serrano pepper is soft, 2 to 6 minutes. Add eggs and chorizo; stir until cooked and completely incorporated into potato mixture, about 5 minutes. Season with salt and pepper.",2,R00005
IS00019,"Meanwhile, heat tortillas in a large skillet or directly on the grates of a gas stove until soft and pliable. Place 1/3 cup chorizo mixture down the center of each tortilla. Fold top and bottom of tortillas over the filling, then roll each into a burrito shape. Mist with cooking spray and place in the basket of an air fryer.",3,R00005
IS00020,"Air fry at 400 degrees F (200 degrees C) for 4 to 6 minutes. Flip each burrito over, mist with cooking spray, and air fry until lightly browned, 2 to 4 minutes more.",4,R00005
IS00021,Crumble the sausage into a skillet over medium-high heat. Cook and stir until evenly brown. Set aside.,1,R00006
IS00022,"Heat one skillet over medium heat, and heat another skillet over high heat. The skillet over high heat is for warming tortillas. In a medium bowl, whisk together the eggs, milk, salt and pepper. Spray the medium heat skillet with some cooking spray, and pour in the eggs. Cook and stir until almost firm. Add the sausage, and continue cooking and stirring until firm.",2,R00006
IS00023,"Meanwhile, warm tortillas for about 45 seconds per side in the other skillet, so they are hot and crispy on the edges, but still pliable.",3,R00006
IS00024,"Sprinkle a little shredded cheese onto each tortilla while it is still hot. Top with some of the scrambled egg and sausage, then add hot pepper sauce and salsa to your liking.",4,R00006
IS00025,"Place ham in food processor, and pulse until finely ground. Mix together ham, green onions, and green peppers. Spoon 1/3 cup of the ham mixture and 3 tablespoons shredded cheese onto each tortilla, then roll up. Carefully place filled tortillas, seam side down, in a greased 9x13 baking dish.",1,R00007
IS00026,"In a medium bowl, mix together eggs, cream, and milk, flour, garlic powder, and hot pepper sauce. Pour egg mixture over tortillas. Cover, and refrigerate overnight.",2,R00007
IS00027,"The next morning, preheat oven to 350 degrees F (175 degrees C).",3,R00007
IS00028,"Bake, uncovered, in preheated oven for 50 to 60 minutes, or until set. Sprinkle casserole with remaining 1 cup shredded cheese. Bake about 3 minutes more, or until cheese melts. Let stand a least 10 minutes before serving.",4,R00007
IS00029,Place beef slices in a mixing bowl. Sprinkle with asada seasoning and garlic powder; toss in bowl to evenly coat. Let marinade 5 minutes.,1,R00008
IS00030,"Heat oil in a large, deep skillet over medium-high heat. Place beef strips in skillet and cook and stir until browned. Stir in bell pepper, onions, and jalapeno pepper. Add tomatoes and potatoes. Cook mixture until potatoes are tender, 5 to 8 minutes. Season with salt and pepper. Transfer mixture to a bowl.",2,R00008
IS00031,"Melt 1 tablespoon butter in the same skillet. Add the eggs, stirring occasionally, until eggs are scrambled and set. Transfer the beef mixture back to skillet. Cook and stir until warmed through, about 2 minutes. Melt the remaining 2 tablespoons butter in a small dish in microwave.",3,R00008
IS00032,Divide shredded cheese among tortillas; divide beef and veggie mixture and place on the cheese. Fold in sides of tortilla and roll up. Brush with melted butter and place folded side down in pan to brown; flip and brown on top side. Burrito should be warmed though.,4,R00008
IS00033,Whisk eggs together in a bowl; stir in bacon.,1,R00009
IS00034,"Melt butter in a skillet over medium heat. Add egg mixture; cook and stir until eggs are completely set, 2 to 3 minutes. Stir in American cheese, salt, and pepper.",2,R00009
IS00035,"Wrap tortillas in damp paper towels; microwave until warmed through, 30 seconds to 1 minute.",3,R00009
