"calories","cook","directions","ingredients","name","prep","rating","ready in","url"
"142","5 mins","1. Place egg in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let egg stand in hot water for 10 to 12 minutes. Remove from hot water; cool for 5 minutes. Peel and chop into bite-sized pieces. 2. In a medium bowl, mix together tuna and mayonnaise. Mix in egg, celery, relish, and black pepper.","1 egg, 1 (5 ounce) can tuna, drained and flaked, 3 tablespoons mayonnaise, 2 stalks celery, chopped, 2 tablespoons sweet pickle relish, 1 pinch ground black pepper","Virgina's Tuna Salad","20 mins","4.5","40 mins","https://www.allrecipes.com/recipe/20185/virginas-tuna-salad/"
"352","3 mins","1. Heat a large skillet over low heat. Spread butter or margarine onto one side of two slices of bread. Place both pieces buttered side down in the skillet. Lay a slice of cheese on each one, and top with slices of tomato, onion and jalapeno. Butter one side of the remaining slices of bread, and place on top buttered side up. When the bottom of the sandwiches are toasted, flip and fry until brown on the other side.","2 tablespoons butter or margarine, 4 slices white bread, 2 slices American cheese, 1 roma (plum) tomato, thinly sliced, ¼ small onion, chopped, 1 jalapeno pepper, chopped","Spicy Grilled Cheese Sandwich","2 mins","4.5","5 mins","https://www.allrecipes.com/recipe/85901/spicy-grilled-cheese-sandwich/"
"406","1 hr 10 mins","1. Season beef with a pinch of salt and black pepper. Heat vegetable oil in a heavy pot over high heat. Cook and stir beef in hot oil until browned, 5 to 8 minutes. 2. Stir garlic, vinegar, oregano, 1 1/2 teaspoons salt, thyme, rosemary, 1 teaspoon black pepper, bay leaf, and red pepper flakes into beef. Pour enough chicken broth into beef mixture to cover the meat by 1 inch and bring to a simmer. 3. Cover pot with a lid, reduce heat to low, and simmer until meat is fork-tender, 1 to 1 1/2 hours. 4. Transfer meat with a strainer or slotted spoon to a separate pot; pour about 1/4 cup of meat broth into pot. Use a wooden spoon to gently break meat into smaller chunks. Cover pot with a lid or aluminum foil and keep warm. 5. Skim excess grease from top of broth remaining in the first pot; season with salt and pepper to taste. Cover pot with a lid or aluminum foil and keep broth warm. 6. Lay halves of a roll out on a work surface and spoon 2 to 3 tablespoons meat broth over each half. Top bottom half of roll with a generous portion of meat and a spoonful of pickled vegetables. Place tops on sandwich. Repeat with remaining buns, broth, meat, and pickled vegetables to make 3 more sandwiches. 7. Spoon hot meat broth into ramekins and top each ramekin with 1/2 teaspoon parsley. Serve sandwiches with hot broth for dipping.","1 ½ pounds boneless beef chuck, cut into 2-inch pieces, salt and ground black pepper to taste, 1 tablespoon vegetable oil, 6 cloves garlic, sliced, 2 tablespoons white vinegar, 1 tablespoon dried oregano, 1 ½ teaspoons salt, or to taste, 1 teaspoon dried thyme, 1 teaspoon dried rosemary, 1 teaspoon freshly ground black pepper, 1 bay leaf, ¼ teaspoon red pepper flakes, or to taste, 3 cups chicken broth, or as needed, 4 ciabatta rolls, sliced in half, 1 cup chopped giardiniera (pickled Italian vegetables), 2 teaspoons chopped fresh flat-leaf parsley","Chicago-Inspired Italian Beef Sandwich","15 mins","4.5","1 hr 25 mins","https://www.allrecipes.com/recipe/236322/chicago-inspired-italian-beef-sandwich/"
"259","","1. Drain and rinse chickpeas. Pour chickpeas into a medium size mixing bowl and mash with a fork. Mix in celery, onion, mayonnaise (to taste), lemon juice, dill, salt and pepper to taste.","1 (19 ounce) can garbanzo beans, drained and rinsed, 1 stalk celery, chopped, ½ onion, chopped, 1 tablespoon mayonnaise, 1 tablespoon lemon juice, 1 teaspoon dried dill weed, salt and pepper to taste","Vegetarian Chickpea Sandwich Filling","20 mins","4.5","20 mins","https://www.allrecipes.com/recipe/16715/vegetarian-chickpea-sandwich-filling/"
"657","20 mins","1. Combine rice vinegar, sugar, and water in a saucepan. Bring to a boil over medium heat, stirring until sugar has dissolved, about 1 minute. Allow the mixture to cool. 2. Place carrot, radish, and onion in a bowl. Pour in cooled vinegar mixture and let marinate at least 30 minutes. 3. While vegetables marinate, set an oven rack about 6 inches from the heat source and preheat the broiler. Lightly oil a slotted broiler pan. 4. Sprinkle chicken breast with garlic salt and pepper. 5. Place chicken on the prepared pan and broil, turning once, until browned and no longer pink in the center, about 6 minutes per side. 6. Place chicken on a cutting board. Cut into bite-sized pieces. 7. Slice baguette in half lengthwise. Pull out the soft center of the bread, leaving a cavity for the fillings. 8. Lightly toast baguette under the broiler, 2 to 3 minutes. 9. Drain off excess vinegar mixture after vegetables have marinated. 10. To assemble the sandwich, spread each half of toasted baguette with mayonnaise. Layer chicken on the bottom half of the bread. Top with cucumber, drained pickled vegetables, cilantro, and jalapeno. Squeeze lime wedge over fillings and cover with top half of baguette. 11. Cut into two 6-inch sandwiches to serve.","½ cup rice vinegar, ¼ cup white sugar, ¼ cup water, ¼ cup matchstick-cut carrots, ¼ cup peeled and matchstick-cut daikon radish, ¼ cup thinly sliced white onion, 1 skinless, boneless chicken breast half, 1 pinch garlic salt, or to taste, ground black pepper to taste, 1 (12 inch) French baguette, 4 tablespoons mayonnaise, ¼ cup thinly sliced cucumber, 1 tablespoon fresh cilantro leaves, 1 small jalapeno pepper, cut into 1/16-inch-thick matchsticks, 1 wedge lime","Banh Mi","30 mins","4.5","50 mins","https://www.allrecipes.com/recipe/187342/banh-mi/"
"1078","","1. Whisk together 1 cup of mayonnaise, pepper, garlic powder, and celery salt until combined. Combine the chicken, celery, cranberries, and cashews in a large bowl. Pour the mayonnaise mixture over the chicken mixture and stir until evenly combined. 2. Spread 1/2 tablespoon of mayonnaise on each slice of toasted bread. Divide the chicken salad between four of the slices of toast; top each with a lettuce leaf and a slice of tomato. Complete each sandwich with the remaining toast slices.","1 cup mayonnaise, ⅛ teaspoon ground black pepper, ⅛ teaspoon garlic powder, ⅛ teaspoon celery salt, 4 cups chopped leftover grilled chicken, 2 celery stalks, sliced, ½ cup sweetened dried cranberries, ⅔ cup salted cashews, 8 slices bread, toasted, 4 tablespoons mayonnaise, 4 large red leaf lettuce leaves, 1 ripe tomato, sliced","Grilled Chicken Salad Sandwich","15 mins","4.5","15 mins","https://www.allrecipes.com/recipe/143587/grilled-chicken-salad-sandwich/"
"525","30 mins","1. Place eggs in a saucepan and cover completely with cold water. Bring water to a boil. Cover, remove from heat, and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop. 2. Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble and set aside. 3. Divide shredded lettuce among individual plates. 4. Evenly divide and arrange chicken, eggs, tomatoes, blue cheese, bacon, avocado and green onions in a row on top of the lettuce. 5. Drizzle with your favorite dressing and enjoy.","6 slices bacon, 3 eggs, 1 head iceberg lettuce, shredded, 3 cups chopped, cooked chicken meat, 2 tomatoes, seeded and chopped, ¾ cup blue cheese, crumbled, 1 avocado - peeled, pitted and diced, 3 green onions, chopped, 1 (8 ounce) bottle Ranch-style salad dressing","Cobb Salad","20 mins","4.5","50 mins","https://www.allrecipes.com/recipe/14415/cobb-salad/"
"528","5 hrs","1. Pour the vegetable oil into the bottom of a slow cooker. Place the pork roast into the slow cooker; pour in the barbecue sauce, apple cider vinegar, and chicken broth. Stir in the brown sugar, yellow mustard, Worcestershire sauce, chili powder, onion, garlic, and thyme. Cover and cook on High until the roast shreds easily with a fork, 5 to 6 hours. 2. Remove the roast from the slow cooker, and shred the meat using two forks. Return the shredded pork to the slow cooker, and stir the meat into the juices. 3. Spread the inside of both halves of hamburger buns with butter. Toast the buns, butter side down, in a skillet over medium heat until golden brown. Spoon pork into the toasted buns.","1 teaspoon vegetable oil, 1 (4 pound) pork shoulder roast, 1 cup barbeque sauce, ½ cup apple cider vinegar, ½ cup chicken broth, ¼ cup light brown sugar, 1 tablespoon prepared yellow mustard, 1 tablespoon Worcestershire sauce, 1 tablespoon chili powder, 1 extra large onion, chopped, 2 large cloves garlic, crushed, 1 ½ teaspoons dried thyme, 8 hamburger buns, split, 2 tablespoons butter, or as needed","Slow Cooker Texas Pulled Pork","15 mins","4.5","5 hrs 15 mins","https://www.allrecipes.com/recipe/92462/slow-cooker-texas-pulled-pork/"
"344","15 mins","1. Place egg in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop. 2. Place the chopped eggs in a bowl, and stir in the mayonnaise, mustard and green onion. Season with salt, pepper and paprika. Stir and serve on your favorite bread or crackers.","8 eggs, ½ cup mayonnaise, 1 teaspoon prepared yellow mustard, ¼ cup chopped green onion, salt and pepper to taste, ¼ teaspoon paprika","Delicious Egg Salad for Sandwiches","10 mins","4.5","35 mins","https://www.allrecipes.com/recipe/147103/delicious-egg-salad-for-sandwiches/"
"657","10 mins","1. Preheat a large skillet or griddle on medium heat. 2. Lightly butter one side of bread slices. Spread non-buttered sides with Thousand Island dressing. On 4 bread slices, layer 1 slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut and second slice of Swiss cheese. Top with remaining bread slices, buttered sides out. 3. Grill sandwiches until both sides are golden brown, about 5 minutes per side. Serve hot.","2 tablespoons butter, 8 slices rye bread, 8 slices deli sliced corned beef, 8 slices Swiss cheese, 1 cup sauerkraut, drained, ½ cup Thousand Island dressing","Reuben Sandwich II","15 mins","4.5","25 mins","https://www.allrecipes.com/recipe/47717/reuben-sandwich-ii/"
