id,recId,calories_from_fat_value,protein_value_g,protein_rdi_pct,carbohydrates_value_g,carbohydrates_rdi_pct,dietary_fiber_value_g,dietary_fiber_rdi_pct,sugars_value_g,fat_value_g,fat_rdi_pct,saturated_fat_value_g,saturated_fat_rdi_pct,cholesterol_value_mg,cholesterol_rdi_pct,vitamin_a_iu_value_iu,vitamin_a_iu_rdi_pct,niacin_equivalents_value_mg,niacin_equivalents_rdi_pct,vitamin_b6_value_mg,vitamin_b6_rdi_pct,vitamin_c_value_mg,vitamin_c_rdi_pct,folate_value_mcg,folate_rdi_pct,calcium_value_mg,calcium_rdi_pct,iron_value_mg,iron_rdi_pct,magnesium_value_mg,magnesium_rdi_pct,potassium_value_mg,potassium_rdi_pct,sodium_value_mg,sodium_rdi_pct,thiamin_value_mg,thiamin_rdi_pct
N00001,R00001,308.6, 37.1,74, 42,14, 2.9,12, 4.8, 34.3,53, 13.7,68, 601.3,200, 1222.3,24, 11.4,88, 0.4,27, 9.5,16, 157.8,40, 416.2,42, 5.8,32, 53.6,19, 553.6,16, 1320.8,53, 0.6,64
N00002,R00002,265.9, 23.1,46, 54.8,18, 3.8,15, 3, 29.5,46, 10.4,52, 216.5,72, 501.9,10, 8.4,65, 0.2,14, 6.2,10, 111.3,28, 270.3,27, 4.5,25, 36.6,13, 639.4,18, 1268.6,51, 0.6,55
N00003,R00003,169.2, 11.7,23, 19.4,6, 1.3,5, 1.9, 18.8,29, 7.4,37, 139.6,47, 456.5,9, 3.8,29, 0.2,10, 2.4,4, 52.8,13, 136.6,14, 2,11, 18.5,7, 191.5,5, 706.6,28, 0.3,33
N00004,R00004,232.4, 24.1,48, 36.1,12, 5.7,23, 3.5, 25.8,40, 8,40, 204.7,68, 428.1,9, 4.4,34, 0.3,21, 7.8,13, 74.8,19, 176.3,18, 3,16, 70.7,25, 649.4,18, 1213.7,49, 0.1,10
N00005,R00005,93.3, 8.3,17, 31.4,10, 2.2,9, 0.6, 10.4,16, 3.3,17, 98.1,33, 136.5,3, 3.8,30, 0.1,9, 4.9,8, 76.5,19, 36.1,4, 2.3,13, 21.4,8, 198.4,6, 298.2,12, 0.3,31
N00006,R00006,307.2, 30.6,61, 27.7,9, 3.9,16, 2.9, 34.1,53, 14.3,71, 342.8,114, 711.8,14, 8.9,68, 0.5,33, 0.7,1, 45.9,12, 324,32, 3.1,17, 68.8,25, 512.1,14, 1297.9,52, 0.4,40
N00007,R00007,281.2, 26.2,52, 30.8,10, 1.9,8, 1.6, 31.2,48, 15.4,77, 172.9,58, 782.7,16, 9.1,70, 0.3,20, 26.1,43, 85,21, 350.5,35, 2.8,15, 40.3,14, 389.8,11, 1103.5,44, 0.6,60
N00008,R00008,568.6, 64.7,129, 83,27, 6.6,26, 9.3, 63.2,97, 31.1,156, 437,146, 2453.3,49, 16.5,127, 0.7,45, 42,70, 186.9,47, 640.8,64, 9,50, 67.1,24, 1042.5,29, 3109.1,124, 0.9,85
N00009,R00009,198.2, 18.9,38, 40.5,13, 2.9,12, 3.2, 22,34, 9.2,46, 217.8,73, 627.1,13, 7.3,56, 0.2,14, 0.8,1, 101.5,25, 211.7,21, 3.7,20, 34.9,13, 375.4,11, 1295.4,52, 0.5,49
N00010,R00010,447.3, 40.2,80, 66.4,21, 5.8,23, 5.1, 49.7,77, 17.4,87, 491.6,164, 1083.9,22, 14.4,111, 0.8,50, 36.6,61, 161.2,40, 453.8,45, 6.4,36, 81.3,29, 1086.4,30, 1291.1,52, 0.7,72
N00011,R00011,324.0, 33.5,67, 84,27, 4.7,19, 4.7, 36,55, 14.6,73, 375.8,125, 1206.5,24, 11.4,88, 0.3,18, 6.1,10, 193.9,49, 499.3,50, 6.9,38, 58.8,21, 443.8,12, 1548.7,62, 0.8,82
N00012,R00012,296.0, 26.6,53, 24.2,8, 5.2,21, 2.3, 32.9,51, 13.2,66, 247.5,83, 722.1,14, 6.8,52, 0.3,17, 0.6,1, 32.7,8, 327.2,33, 2.8,16, 45.3,16, 348.7,10, 1193.9,48, 0.2,21
N00013,R00013,327.2, 30.5,61, 41.6,13, 3.1,13, 3.2, 36.4,56, 17.7,89, 344.6,115, 1250.8,25, 9.2,71, 0.3,16, 7.6,13, 134.1,34, 562.6,56, 4.5,25, 49.8,18, 415.5,12, 981.9,39, 0.5,47
N00014,R00014,296.0, 26.6,53, 24.2,8, 5.2,21, 2.3, 32.9,51, 13.2,66, 247.5,83, 722.1,14, 6.8,52, 0.3,17, 0.6,1, 32.7,8, 327.2,33, 2.8,16, 45.3,16, 348.7,10, 1193.9,48, 0.2,21
N00015,R00015,483.0, 39.5,79, 43,14, 2.8,11, 3.9, 53.7,83, 21.4,107, 243.1,81, 679.1,14, 14.7,113, 0.6,39, 28.9,48, 103.2,26, 345.7,35, 4.7,26, 50,18, 615.8,17, 1759.7,70, 1,96
N00016,R00016,568.6, 64.7,129, 83,27, 6.6,26, 9.3, 63.2,97, 31.1,156, 437,146, 2453.3,49, 16.5,127, 0.7,45, 42,70, 186.9,47, 640.8,64, 9,50, 67.1,24, 1042.5,29, 3109.1,124, 0.9,85
N00017,R00017,224.1, 18.4,37, 53,17, 3.3,13, 3.6, 24.9,38, 9.6,48, 36.6,12, 374.5,8, 6.6,51, 0.1,9, 31.7,53, 81.3,20, 285.6,29, 3.2,18, 27.9,10, 473.7,13, 1578.4,63, 0.5,50
N00018,R00018,447.3, 40.2,80, 66.4,21, 5.8,23, 5.1, 49.7,77, 17.4,87, 491.6,164, 1083.9,22, 14.4,111, 0.8,50, 36.6,61, 161.2,40, 453.8,45, 6.4,36, 81.3,29, 1086.4,30, 1291.1,52, 0.7,72
N00019,R00019,351.7, 25.6,51, 44.9,15, 4.6,18, 2, 39.1,60, 14.7,74, 244.3,81, 487.6,10, 9.4,72, 0.3,18, 2.7,5, 108.3,27, 301.3,30, 4.4,25, 48.4,17, 414.9,12, 1180.9,47, 0.6,60
N00020,R00020,198.2, 18.9,38, 40.5,13, 2.9,12, 3.2, 22,34, 9.2,46, 217.8,73, 627.1,13, 7.3,56, 0.2,14, 0.8,1, 101.5,25, 211.7,21, 3.7,20, 34.9,13, 375.4,11, 1295.4,52, 0.5,49
N00021,R00021,0.0, 28.4,57, 46.4,15, 3.1,12,0, 51.4,79, 20,100, 263.8,88, 555,11, 8.6,43, 0.4,18,0,0,0,0,0,0,0,0,0,0, 585,17, 1347,56,0,0
